x-coordinate,y_coordinate,Total counts,Total counts uncertainty,Mean background count
90,250,45594.78589782896,213.52935605632533,3418.354944113697
169,372,15069.440756289237,122.75765050003702,3418.354944113697
8,108,12925.959415017962,113.69238943314527,3418.354944113697
156,151,19454.147376992038,139.47812508415805,3418.354944113697
72,270,6949.672570769946,83.36469618951385,3418.354944113697
61,99,7568.607738428858,86.99774559394547,3418.354944113697
113,377,10730.314359131653,103.58723067604257,3418.354944113697
204,31,18193.918830035924,134.8848354339209,3418.354944113697
91,101,6202.317626656246,78.75479430902125,3418.354944113697
71,10,3415.416508930181,58.441564908292634,3418.354944113697
66,82,3142.061564816484,56.0540949870434,3418.354944113697
7,105,351.580223545212,18.750472621915748,3418.354944113697
100,5,1982.191229498666,44.521806224575684,3418.354944113697
95,103,492.225279431515,22.186150622212836,3418.354944113697
195,34,1415.320894180848,37.620750845522046,3418.354944113697
99,251,716.515391204121,26.76780512489063,3418.354944113697
128,263,3837.317626656241,61.9460864514962,3418.354944113697
68,247,8573.085812175535,92.5909596676454,3418.354944113697
68,159,1060.740670635636,32.56901396474318,3418.354944113697
93,15,8493.884852061048,92.16227455993612,3420.476439349237
108,399,12054.361291410285,109.79235534139107,3420.476439349237
10,328,6969.130911236629,83.48132073246462,3420.476439349237
165,305,16726.72258282057,129.33183128225073,3420.476439349237
222,186,3331.9895473320503,57.723388217706436,3420.476439349237
32,1,125.09424260305241,11.18455375073375,3420.476439349237
79,120,2864.465986681287,53.52070614894097,3420.476439349237
196,48,3287.0837899351027,57.333095066768394,3420.476439349237
39,1,119.09424260305241,10.913030862370563,3420.476439349237
192,31,1303.9947736660251,36.11086780549624,3420.476439349237
126,394,3243.130911236629,56.94849349400411,3420.476439349237
79,7,230.0942426030524,15.168857656496497,3420.476439349237
229,380,1786.6596982213669,42.268897527867544,3420.476439349237
46,1,98.09424260305241,9.904253763058195,3420.476439349237
22,14,95.5235606507631,9.773615536267176,3420.476439349237
236,46,274.0942426030524,16.55579181443921,3420.476439349237
53,194,97427.03702841618,312.13304379449505,3424.9591946848354
113,194,74755.85367427647,273.41516723524404,3424.9591946848354
12,37,17295.61100061358,131.51277884910493,3424.9591946848354
78,207,11958.529389983232,109.35506110822321,3424.9591946848354
198,255,17808.957576014014,133.45020635433283,3424.9591946848354
208,29,8433.223619897983,91.83258473928512,3424.9591946848354
233,178,6343.182814582826,79.64410094026316,3424.9591946848354
29,65,2106.1425488246077,45.89272871408507,3424.9591946848354
53,100,4627.652345485692,68.02685018054042,3424.9591946848354
196,100,789.4896637819747,28.097858704569905,3424.9591946848354
196,24,1644.0609381942786,40.54702132332631,3424.9591946848354
72,167,4349.8971773766825,65.95375029046251,3424.9591946848354
119,248,2276.468991345924,47.71235679932322,3424.9591946848354
40,90,925.5304690971393,30.422532259776457,3424.9591946848354
0,46,704.4080531516456,26.54068674981199,3424.9591946848354
0,268,713.4080531516456,26.70969960803838,3424.9591946848354
200,400,321329.53253332485,566.8593586890181,3425.9083356589313
199,4,566920.2641736155,752.941076163079,3425.9083356589313
213,141,175443.54028293784,418.85980982058646,3425.9083356589313
177,83,195810.61533177525,442.5049325507855,3425.9083356589313
75,282,51414.2661271278,226.74714138689333,3425.9083356589313
219,274,27595.38299379599,166.1185811214266,3425.9083356589313
72,337,27614.474658137042,166.1760351498887,3425.9083356589313
221,15,14456.116308524643,120.233590599818,3425.9083356589313
121,57,4484.216559689163,66.96429316948819,3425.9083356589313
172,196,5057.308224030234,71.11475391246344,3425.9083356589313
211,29,3736.758237983818,61.12902942124812,3425.9083356589313
158,176,6430.149818603375,80.18821496082435,3425.9083356589313
150,104,3294.758237983818,57.39998465142494,3425.9083356589313
175,0,867.9166434106874,29.46042503784844,3425.9083356589313
229,201,3397.849902324887,58.291079097276,3425.9083356589313
231,107,1940.4749372088559,44.05082220809114,3425.9083356589313
127,59,1948.3832728677871,44.14049470574369,3425.9083356589313
23,316,1982.3832728677871,44.52396290614512,3425.9083356589313
41,214,2242.5666015499246,47.35574517996655,3425.9083356589313
70,183,133217.27125287967,364.98941252162325,3424.4339433256555
236,400,14144.247934408231,118.92959234104954,3424.4339433256555
147,20,32664.342444477465,180.73279294161716,3424.4339433256555
159,156,11502.624970944375,107.25029123943848,3424.4339433256555
236,100,2594.3780402764023,50.9350374523903,3424.4339433256555
23,362,2579.9817002303353,50.79352025830003,3424.4339433256555
127,45,3305.7743803224694,57.495864027966995,3424.4339433256555
166,300,3574.604663694192,59.787997655835504,3424.4339433256555
199,305,3318.208323648125,57.60389156687354,3424.4339433256555
